Model,MAP,Recall,Precision@10,nDCG@10
BM25 (baseline),0.09831782632177494,0.112171547497442,0.6621621621621622,0.7241478413282588
Hybrid equal (baseline),0.06375494480542515,0.08930190485328766,0.527027027027027,0.5432142010500397
"Weighted Hybrid / LTR (tfidf=0.0, bm25=3.0, emb=0.5)",0.09181275148363315,0.10909152587202682,0.6486486486486488,0.7006927646047589
