Model Name,MAP,Recall,Precision@10,nDCG@10
TF-IDF,0.04125844824664201,0.06352457330777848,0.3755102040816326,0.4009954644401902
BM25,0.10453898733488476,0.11683154814273518,0.6877551020408162,0.749865925962657
Embedding,0.029154030820324844,0.050118224184739935,0.29183673469387755,0.3101308646490586
Hybrid,0.0711859462033482,0.09510540998202983,0.5591836734693877,0.5849839774837187
